site 1,site 2,site 3,Year,position N,position W,depth [ft],HYP PUEL,HYP NIGR,HYP UNIC,HYP ABER,HYP GUTT,HYP INDI,HYP TANN,HYP GUMM,HYP GEMM,HYP CHLO,TOTAL
Alligator reef,Off Long Key,Florida,2017,24.8468,-80.62296,64,0,0,4,0,0,0,0,0,0,0,4
Stag partty,Off Long Key,Florida,2017,24.77801,-80.73536,11,0,0,0,0,0,0,0,0,0,0,0
Tennesee reef,Off Long Key,Florida,2017,24.75258,-80.76065,42,0,0,1,0,0,0,0,0,0,0,1
Tennesee reef,Off Long Key,Florida,2017,24.75258,-80.76065,36,0,0,1,0,0,0,0,0,0,0,1
Tennesse ledge,Off Long Key,Florida,2017,24.73489,-80.8008,45,0,0,5,0,0,0,0,0,0,0,5
Outer reef,Off Long Key,Florida,2017,24.73507,-80.80109,25,0,0,0,0,0,0,0,0,0,0,0
Outer reef,Off Long Key,Florida,2017,24.80618,-80.67677,42,0,0,4,0,0,0,0,0,0,0,4
COF aligator,Off Long Key,Florida,2017,24.81247,-80.66971,41,0,0,2,0,0,0,0,0,0,0,2
COF aligator,Off Long Key,Florida,2017,24.81247,-80.66971,41,0,0,0,0,0,0,0,0,0,0,0
Ed's place,Off Long Key,Florida,2017,24.76937,-80.72791,45,0,0,2,0,0,0,0,0,0,0,2
Ed's place,Off Long Key,Florida,2017,24.76937,-80.72791,45,0,0,2,0,0,0,0,0,0,0,2
Chheca Rock,Off Long Key,Florida,2017,24.89978,-80.61716,14,0,0,0,0,0,0,0,0,0,0,0
Outer reef,Off Long Key,Florida,2017,24.80939,-80.67311,48,0,0,6,0,0,0,0,0,0,0,6
Stag forest,Off Long Key,Florida,2017,24.80696,-80.67675,42,0,0,0,0,0,0,0,0,0,0,0
Near French Reef,Off Tavernier,Florida,2017,25.0368,-80.34386,50,0,0,0,0,0,0,0,0,0,0,0
Outer reef,Off Long Key,Florida,2017,24.72062,-80.83116,46,0,0,2,0,0,0,0,0,0,0,2
Turtle East,Off Long Key,Florida,2017,24.72163,-80.9264,13,0,0,0,0,0,0,1,0,0,0,1
Outer reef,Off Long Key,Florida,2017,24.68493,-80.92229,48,1,0,6,0,0,0,0,0,0,0,7
Outer reef,Off Long Key,Florida,2017,24.68493,-80.92229,48,0,0,4,0,0,0,0,0,0,0,4
Volcano,Off Long Key,Florida,2017,24.72446,-80.92099,23 to 6,0,0,0,0,0,0,0,0,0,0,0
Volcano,Off Long Key,Florida,2017,24.72446,-80.92099,23 to 6,0,0,0,0,0,0,0,0,0,0,0
Outer reef,Off Geiger Key,Florida,2017,24.50768,-81.57143,41,1,0,0,0,0,0,0,0,0,0,1
Outer reef,Off Geiger Key,Florida,2017,24.50768,-81.57143,41,0,0,1,0,0,0,0,0,0,0,1
Outer reef,Off Geiger Key,Florida,2017,24.50645,-81.58026,39,0,0,4,0,0,0,0,0,1,0,5
Inner patch reef,Off Geiger Key,Florida,2017,24.54383,-81.5667,15,0,0,0,0,0,0,0,0,0,0,0
Outer reef,Off Long Key,Florida,2017,24.69966,-80.88238,51,0,0,2,0,0,0,0,0,0,0,2
Outer reef,Off Long Key,Florida,2017,24.69966,-80.88238,51,0,0,2,0,0,0,0,0,0,0,2
